Timestamp,Decision,Explanation
2023/04/23 10:37:16 PM GMT+8,Agree,"No, because it will only heighten the tension between the two countries and Philippines will be a part of their power struggle"
2023/04/23 10:37:42 PM GMT+8,Disagree,"No, because I just want the USA to mind their own business"
2023/04/23 10:38:01 PM GMT+8,Agree,"Yes, because it is another layer of protection for the Filipinos"
2023/04/23 10:38:24 PM GMT+8,Agree,I agree because it is gonna help Filipino people in defending the country
2023/04/23 10:38:52 PM GMT+8,Agree,"Agree, as this will strengthen the bond between two countries"
2023/04/23 10:39:23 PM GMT+8,Agree,"Of course, there is nothing wrong with the exercises as it is annually being performed"
2023/04/23 10:39:45 PM GMT+8,Disagree,"Of course not, as USA is using the Philippines to show their power to China"
2023/04/23 10:40:32 PM GMT+8,Disagree,"Negative, as I believe that China has greater power than USA, and sticking with China is a far better choice"
2023/04/23 10:41:31 PM GMT+8,Disagree,"Strongly disagree, as this only provokes the China in attacking our country"
2023/04/23 10:42:05 PM GMT+8,Agree,It is not bad to have this kind of exercise to show that we are not powerless to those bullies
2023/04/23 10:42:34 PM GMT+8,Agree,"Strongly agree, it will make the country look stronger, even for a moment only"
2023/04/23 10:43:02 PM GMT+8,Disagree,"No, we don't want China to see us as a Threat to their domination"
2023/04/23 10:43:36 PM GMT+8,Disagree,"Of course not, it will only provoke the China to start a war with us which will lead to more deaths"
2023/04/23 10:44:08 PM GMT+8,Disagree,"Nope, as I do not want the USA using this activity to monitor Chinese activities "
2023/04/23 10:44:32 PM GMT+8,Disagree,"No, because I do not want to be a slave again for another strong country "
2023/04/23 11:05:24 PM GMT+8,Disagree,"This Balikatan exercise was done annually, so it's not new. And it has a significant benefits in making a great relationship with the USA but I think it's an inappropriate decision to hold such activity amidst tension. I disagree because I think it will just escalate or intensify the tension between the region, even though the intention of such activity doesn't have the correlation with the tension that is happening, it can still be misinterpreted by other regions. Thus, there must be an intensive evaluation of the situation before deriving on a whim decision."
2023/04/24 3:24:45 PM GMT+8,Disagree,Disagree because the decision by the government and the United States to hold the largest Balikatan exercise suggests that the Philippines is selecting sides and aligning itself more closely with the United States.
2023/04/24 3:25:50 PM GMT+8,Agree,"The static display of military equipment is often a popular aspect of these exercises, as it allows the public to see firsthand the advanced technology and firepower that the U.S. military can bring to bear in the event of a conflict. However, it's important to note that military exercises like Balikatan are primarily focused on training and readiness, rather than actual combat operations."
2023/04/24 3:26:52 PM GMT+8,Agree,I agree to the decision of the government and USA because I believe it's for the betterment of everyone. 
2023/04/24 3:27:25 PM GMT+8,Agree,Good job PBBM. This is very useful for the additional defense when there's imminent danger and threat for our national security. Utilizing EDCA that will sooner to end it's contract   next year will be a smart move for the administration that the Philippines didn't ignore the importance of MDT between the US.
2023/04/24 3:32:14 PM GMT+8,Agree,"I agree, because it promotes partnership and camaraderie of 2 nations. It also strengthens the military of the Philippines."
2023/04/24 3:34:58 PM GMT+8,Agree,That's good news for Philippines... we can defend now our territorial water.
2023/04/24 3:35:14 PM GMT+8,Agree,"Based on the question above, this help to training and strengthen the Philippine enforcement when it comes in the battle. It gives experience which they can use when if something happens in the future."
2023/04/24 3:35:34 PM GMT+8,Agree,The United States of America are our friends and Allies for almost a century within more than 80 to 90 decades in Treaty Partnerships. Thank you and may God bless you and the Philippines' partnership into a more eventual success together with the Allied Countries of the World. God bless you and more power to you! 
2023/04/24 3:36:08 PM GMT+8,Agree,"The Philippines is being allied of the USA, of course they should give their full support and strong power, to defense our country,... thanks to you America...go go"
2023/04/24 3:42:06 PM GMT+8,Agree,"We filipinos are to stubborn !how many times we betrayed in america since cory Aquino times,we removed thier base ...and now dds administration trying to threaten always in america and our military is really involve this matter...I Hope we filipinos realising how greedy we are ! disrespectful disobedience in my our allie's in States look what happened in our country today!?china 200ship in Palawan already stealing our fish our island that's the sequences when we are keep stubborn in America...we need repent filipinos citizens and be fear of no american base in our land..china is waiting us to be slave to them be fear now"
